,before,special_price,after,name,capcity_GB,RAM,processer,Colour,model,meta_keyword
46,7199,6599.0,5738.2609,آبل) آيفون 13),‎سعة 1 تيرا بايت‎,‎5‎G‎,,,‎ايفون 13 برو‎,"ابل,آبل) آيفون 13),MLV73AHA,سعة 1 تيرا بايت,لون أزرق سيريا,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
47,2999,2399.0,2086.087,هواوي) بي),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 888‎,‎ذهبي أسود‎,P50,"هواوي,هواوي) بي),51097DCN,سعة 256 جيجابايت,ذهبي أسود,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
48,7199,6599.0,5738.2609,آبل) آيفون 13),‎سعة 1 تيرا بايت‎,‎5‎G‎,,,‎ايفون 13 برو‎,"ابل,آبل) آيفون 13),MLV13AHA,سعة 1 تيرا بايت,جرافيتي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
49,2999,2399.0,2086.087,هواوي) بي),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 888‎,‎ذهب كاكاو‎,P50,"هواوي,هواوي) بي),51097DCQ,سعة 256 جيجابايت,ذهب كاكاو,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
50,7199,6599.0,5738.2609,آبل) آيفون 13),‎سعة 1 تيرا بايت‎,‎5‎G‎,,,‎ايفون 13 برو‎,"ابل,آبل) آيفون 13),MNE13AHA,سعة 1 تيرا بايت,أخضر صنوبري,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
51,4149,3999.0,3477.3913, سامسونج) جالكسي أس),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎أبيض فانتوم‎,,‎ جالكسي اس 22 بلس‎,"سامسونج, سامسونج) جالكسي أس),SMS906EZWGMEA,سعة 256 جيجابايت,أبيض فانتوم,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
52,4149,3999.0,3477.3913, سامسونج) جالكسي أس),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎اخضر‎,,‎ جالكسي اس 22 بلس‎,"سامسونج, سامسونج) جالكسي أس),SMS906EZGGMEA,سعة 256 جيجابايت,اخضر,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
53,4149,3999.0,3477.3913, سامسونج) جالكسي أس),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 8‎,‎ذهبي وردي‎,‎ جالكسي اس 22 بلس‎,"سامسونج, سامسونج) جالكسي أس),SMS906EIDGMEA,سعة 256 جيجابايت,ذهبي وردي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
54,4149,3999.0,3477.3913, سامسونج) جالكسي أس),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 8‎,‎أسود فانتوم‎,‎ جالكسي اس 22 بلس‎,"سامسونج, سامسونج) جالكسي أس),SMS906EZKGMEA,سعة 256 جيجابايت,أسود فانتوم,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
55,3999,,3477.3913,سامسونج) جالكسي زد),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎بورا البنفسجي‎,,‎جالكسي زد فليب 4‎,"سامسونج,سامسونج) جالكسي زد),SMF721BLVEMEA,سعة 256 جيجابايت,,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
